ID,INDIVIDUAL_ID,PLATE_ID,WELL_ID,DATE,REGION,REEF,HABITAT,ZONING,Ysite,Xsite,Yind,Xind,SPECIES,LIFE_STAGE,FL,TL,Pma036.a,Pma036.b,Pma043.a,Pma043.b,Pma097.a,Pma097.b,Pma104.a,Pma104.b,Pma106.a,Pma106.b,Pma109.a,Pma109.b,Pma112.a,Pma112.b,Pma114.a,Pma114.b,Pma180.a,Pma180.b,Ple02.a,Ple02.b,Ple04.a,Ple04.b,Pma012.a,Pma012.b,Pma025.a,Pma025.b,Pma038.a,Pma038.b,Pma090.a,Pma090.b,Pma101.a,Pma101.b,Pma412.a,Pma412.b,Ple01.a,Ple01.b,Ple05.a,Ple05.b,Pma020.a,Pma020.b,Pma022.a,Pma022.b,Pma027.a,Pma027.b,Pma121.a,Pma121.b,Pma191.a,Pma191.b,Pma228.a,Pma228.b,P_Pmac,P_Pleo,MLoci,STR_SPECIES,SAge,SDate,COHORT,Period
Plec03_F04,T26296,Plec_03,F04,2008-01-27,Keppel Islands,Halfway Green,,MPZ,-23.2,150.97,150.9706667,-23.19201667,P. maculatus,Adult,275,290,365,523,370,414,142,170,200,226,166,166,411,411,164,168,236,256,321,333,250,250,398,416,153,181,362,390,299,326,388,388,274,274,147,147,145,145,412,420,298,326,304,304,287,358,361,373,187,195,147,147,0.999,0.001,0,P. maculatus,NA,NA,NA,C
Plec05_F02,T19732,Plec_05,F02,2008-01-27,Keppel Islands,Clam Bay,,MPZ,-23.19,150.98,150.98685,-23.19296667,P. maculatus,Adult,290,310,398,523,318,410,146,166,222,222,175,198,411,411,144,168,228,232,321,342,242,255,404,416,165,165,386,386,310,314,388,400,274,274,147,147,145,171,408,428,310,314,300,316,331,354,421,429,187,195,147,151,0.993,0.007,0,P. maculatus,NA,NA,NA,C
Plec05_F11,T01531,Plec_05,F11,2007-11-25,Keppel Islands,Clam Bay,,MPZ,-23.19,150.98,150.98569,-23.19089,P. maculatus,Adult,290,305,352,390,406,410,150,178,214,214,166,170,402,411,164,168,216,232,321,337,250,255,401,416,161,161,378,378,330,338,383,392,266,295,147,147,145,145,420,420,330,338,296,300,339,347,361,433,199,203,140,151,0.999,0.001,0,P. maculatus,NA,NA,NA,C
Plec06_H09,T16020,Plec_06,H09,2007-11-28,Keppel Islands,Middle Is,,MPZ,-23.17,150.92,150.9128833,-23.16476667,P. maculatus,Adult,290,310,352,402,410,410,104,154,210,218,166,178,419,431,164,168,220,228,321,346,250,255,413,416,157,165,374,382,306,330,383,383,278,299,147,167,171,185,408,412,306,330,300,300,354,354,361,377,187,211,151,151,0.999,0.001,0,P. maculatus,NA,NA,NA,C
Plec03_E07,T16032,Plec_03,E07,2007-11-29,Keppel Islands,Halfway Green,,MPZ,-23.2,150.97,150.9724,-23.20105,P. maculatus,Adult,295,310,357,410,314,370,100,150,166,170,175,178,411,431,136,168,224,236,288,308,242,246,398,401,149,161,329,334,334,338,396,400,274,290,132,152,145,195,412,420,334,338,296,320,287,347,373,421,187,211,147,155,0.8235,0.1765,0,P. maculatus,NA,NA,NA,C
Plec03_E02,T19282,Plec_03,E02,2007-11-30,Keppel Islands,Halfway Green,,MPZ,-23.2,150.97,150.9729167,-23.19521667,P. maculatus,Adult,300,320,500,507,314,414,115,170,202,214,187,187,415,415,144,176,228,236,288,321,234,246,413,413,157,161,366,378,330,338,379,396,274,274,132,147,145,145,420,420,330,338,296,300,347,354,377,421,187,203,147,147,0.994,0.006,0,P. maculatus,NA,NA,NA,C
Plec03_A03,T25960,Plec_03,A03,2008-01-25,Keppel Islands,Halfway Green,,MPZ,-23.2,150.97,150.97265,-23.201,P. maculatus,Adult,305,324,484,500,406,422,142,162,206,226,187,202,411,431,148,148,228,232,311,321,238,250,413,413,165,173,370,390,310,330,388,388,274,274,132,132,171,179,408,420,310,330,300,304,287,287,421,421,211,215,147,147,0.999,0.001,0,P. maculatus,NA,NA,NA,C
Plec05_H09,T26770,Plec_05,H09,2008-01-29,Keppel Islands,Halfway Green,,MPZ,-23.2,150.97,150.9730833,-23.20151667,P. maculatus,Adult,305,321,361,507,382,398,115,142,206,218,170,202,411,447,168,168,232,236,313,313,222,242,398,416,165,169,370,382,322,330,388,388,266,274,132,147,171,183,412,420,322,330,300,300,287,354,361,421,199,211,147,155,0.999,0.001,0,P. maculatus,NA,NA,NA,C
Plec04_A08,BP_008,Plec_04,A08,2009-02-28,Keppel Islands,Clam Bay,,MPZ,-23.19,150.98,NA,NA,P. maculatus,Adult,310,329,398,484,406,414,150,166,226,230,178,187,411,431,144,164,232,240,321,321,255,263,413,416,161,165,390,394,330,338,388,396,266,274,147,167,145,179,408,408,330,338,300,300,287,331,361,421,191,207,147,147,0.999,0.001,0,P. maculatus,NA,NA,NA,C
Plec04_A07,BP_007,Plec_04,A07,2009-02-28,Keppel Islands,Clam Bay,,MPZ,-23.19,150.98,NA,NA,P. maculatus,Adult,311,330,361,369,382,418,158,186,182,218,175,178,398,427,148,160,232,265,288,350,250,250,401,401,149,165,346,382,314,338,388,388,274,274,147,147,145,145,412,428,314,338,296,300,339,339,361,421,215,215,147,147,0.998,0.002,0,P. maculatus,NA,NA,NA,C
